Name;Path;Cmp;A/N;Description;MAK Status
ZCADOC;HFix_ZCADOC_CBR_C001899CBR004T;CBR;C001899CBR004T;Several bugs and modifications;test
ZCADOC;HFix_ZCADOC_CBR_T102080CBR001N;CBR;T102080CBR001N;Vertragsmanagement der Partner Ergänzung;test
ZCAEHI;HFix_ZCAEHI_CBR_C001899CBR003T;CBR;C001899CBR003T;Vertragsmanagement der Partner;test
ZCAENC;HFix_ZCAENC_CBR_C001899CBR003T;CBR;C001899CBR003T;Vertragsmanagement der Partner;test
ZCAGTK;HFix_ZCAGTK_CBR_C001899CBR003T;CBR;C001899CBR003T;Vertragsmanagement der Partner;test
ZCAITB;HFix_ZCAITB_CBR_C002023CBR001N;CBR;C002023CBR001N;Ticket No. 102680 - CBR MKM Kampagnen;test
ZCAITC;HFix_ZCAITC_CBR_C002023CBR001N;CBR;C002023CBR001N;Ticket No. 102680 - CBR MKM Kampagnen;test
ZCAITM;HFix_ZCAITM_CBR_C002023CBR001N;CBR;C002023CBR001N;Ticket No. 102680 - CBR MKM Kampagnen;test
ZCAKAE;HFix_ZCAKAE_CBR_C001899CBR003T;CBR;C001899CBR003T;Vertragsmanagement der Partner;test
ZCAPIC;HFix_ZCAPIC_CBR_C002023CBR001N;CBR;C002023CBR001N;Ticket No. 102680 - CBR MKM Kampagnen;test
ZCAPRO;HFix_ZCAPRO_CBR_C002023CBR001N;CBR;C002023CBR001N;Ticket No. 102680 - CBR MKM Kampagnen;test
ZCASHD;HFix_ZCASHD_CBR_C001660CBR007T;CBR;C001660CBR007T;POS (cash desk) interface - extension;approved
ZCASHD;VFix_ZCASHD_CBR_C001660CBR006T;CBR;C001660CBR006T;POS (cash desk) interface - migration from 14.1.2;exported
ZCASHT;VFix_ZCASHT_CBR_C001660CBR006T;CBR;C001660CBR006T;POS (cash desk) interface - migration from 14.1.2;exported
ZCOPSH;HFix_ZCOPSH_CBR_T101921CBR001N;CBR;T101921CBR001N;101921 : GAP1_2 interface MobiMedia M3 export - CodeTabellen (Chapter 1.4.5.);development
ZCUCAH;HFix_ZCUCAH_CBR_C001708CBR002N;CBR;C001708CBR002N;(Migration from V10 to V13) : 44171 : CBR-03 - individuelle Kundenmerkmale : CR: Automatische Neuanlage;test
ZCUCAV;HFix_ZCUCAV_CBR_C001708CBR002N;CBR;C001708CBR002N;(Migration from V10 to V13) : 44171 : CBR-03 - individuelle Kundenmerkmale : CR: Automatische Neuanlage;test
ZCUORN;HFix_ZCUORN_CBR_C001932CBR001N;CBR;C001932CBR001N;T # 46895 - GAP224  - EDI-Nummernvergabe;test
